epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.93377,1.09977,3.46222,0.00502,0.01099,0.21199,0.0432,0.02349,1.11869,3.74308,0.00872,0,0,0
2,3.82274,1.05686,3.47833,0.00565,0.01004,0.21199,0.04327,0.02356,1.12036,3.74319,0.00876,1.6505e-05,1.6505e-05,1.6505e-05
3,5.72777,0.97361,3.45932,0.00425,0.00929,0.21199,0.04436,0.02661,1.10862,3.72711,0.0087,3.26799e-05,3.26799e-05,3.26799e-05
4,7.66195,0.9136,3.37478,0.00465,0.0096,0.2383,0.04649,0.03144,1.11524,3.70427,0.00863,4.85247e-05,4.85247e-05,4.85247e-05
5,9.49341,1.02944,3.35737,0.00614,0.00913,0.2383,0.05072,0.03871,1.14836,3.62776,0.00892,6.40395e-05,6.40395e-05,6.40395e-05
6,11.4695,0.97476,3.30681,0.00508,0.00876,0.2383,0.06082,0.04752,1.07691,3.59637,0.00831,7.92242e-05,7.92242e-05,7.92242e-05
7,13.344,0.95121,3.26082,0.00543,0.01357,0.37135,0.12627,0.07004,1.04723,3.592,0.00794,9.40788e-05,9.40788e-05,9.40788e-05
8,15.2665,0.8656,3.14309,0.00475,0.0151,0.42398,0.13785,0.10119,1.03296,3.5319,0.00804,0.000108603,0.000108603,0.000108603
9,17.2549,0.96901,3.11217,0.00536,0.01664,0.47661,0.16533,0.12502,1.01334,3.46886,0.00773,0.000122798,0.000122798,0.000122798
10,19.1581,0.99326,3.19528,0.00487,0.01827,0.50439,0.2034,0.15369,0.97069,3.46443,0.00728,0.000136662,0.000136662,0.000136662
11,20.9563,0.93425,3.04714,0.00632,0.01985,0.55702,0.25109,0.18529,1.02213,3.39211,0.00772,0.000150197,0.000150197,0.000150197
12,22.9574,0.89361,2.99748,0.00475,0.02534,0.64035,0.29887,0.20922,1.03878,3.37208,0.00795,0.000163401,0.000163401,0.000163401
13,24.7262,1.07666,2.97315,0.00664,0.02901,0.69591,0.3575,0.2301,1.09647,3.37387,0.00839,0.000176275,0.000176275,0.000176275
14,26.5557,1.01101,2.88739,0.00498,0.03657,0.80702,0.39888,0.23938,1.17223,3.30903,0.00902,0.000188819,0.000188819,0.000188819
15,28.4527,1.02162,2.77942,0.00587,0.03633,0.80702,0.41655,0.26251,1.13137,3.30095,0.00866,0.000201034,0.000201034,0.000201034
16,30.3232,1.05837,2.76368,0.00567,0.03755,0.8348,0.43891,0.29596,1.07364,3.26886,0.00842,0.000212918,0.000212918,0.000212918
17,32.1538,0.9182,2.76393,0.0055,0.03722,0.8348,0.44866,0.31901,0.97593,3.24683,0.00756,0.000224472,0.000224472,0.000224472
18,34.0602,0.96359,2.62204,0.00575,0.03722,0.8348,0.44866,0.31901,0.97593,3.24683,0.00756,0.000235695,0.000235695,0.000235695
19,35.8227,0.92178,2.58696,0.00504,0.03662,0.8348,0.49609,0.36097,0.95409,3.21415,0.0073,0.000246589,0.000246589,0.000246589
20,37.6913,0.94672,2.62716,0.00434,0.03662,0.8348,0.49609,0.36097,0.95409,3.21415,0.0073,0.000257153,0.000257153,0.000257153
21,39.5093,0.91014,2.55079,0.0048,0.0394,0.89035,0.51773,0.37265,0.94291,3.21796,0.00718,0.000267387,0.000267387,0.000267387
22,41.3795,1.066,2.48829,0.00619,0.0394,0.89035,0.51773,0.37265,0.94291,3.21796,0.00718,0.00027729,0.00027729,0.00027729
23,43.285,0.99446,2.54603,0.00522,0.03864,0.89035,0.4977,0.35066,1.01291,3.18492,0.00775,0.000286864,0.000286864,0.000286864
24,45.1008,0.86928,2.33613,0.00541,0.03864,0.89035,0.4977,0.35066,1.01291,3.18492,0.00775,0.000296108,0.000296108,0.000296108
25,46.8598,0.92981,2.36195,0.00503,0.03813,0.89035,0.47137,0.32733,1.04208,3.22569,0.00796,0.000305021,0.000305021,0.000305021
26,48.6951,0.91776,2.2562,0.00522,0.03813,0.89035,0.47137,0.32733,1.04208,3.22569,0.00796,0.000313604,0.000313604,0.000313604
27,50.6061,0.90481,2.34261,0.00488,0.03758,0.89035,0.47315,0.32705,1.06556,3.19602,0.00818,0.000321858,0.000321858,0.000321858
28,52.499,0.9746,2.2809,0.00601,0.03758,0.89035,0.47315,0.32705,1.06556,3.19602,0.00818,0.000329781,0.000329781,0.000329781
29,54.3502,0.90388,2.22476,0.00469,0.0373,0.89035,0.45125,0.3204,1.04337,3.15525,0.00788,0.000337374,0.000337374,0.000337374
30,56.325,1.01255,2.24806,0.00507,0.0373,0.89035,0.45125,0.3204,1.04337,3.15525,0.00788,0.000344637,0.000344637,0.000344637
31,58.1566,1.02069,2.37223,0.00431,0.03573,0.86257,0.43764,0.31424,1.03293,3.14014,0.00769,0.00035157,0.00035157,0.00035157
32,60.045,0.93213,2.02427,0.00431,0.03573,0.86257,0.43764,0.31424,1.03293,3.14014,0.00769,0.000358173,0.000358173,0.000358173
33,62.0662,0.90254,2.05319,0.00455,0.03563,0.86257,0.43623,0.31084,1.02612,3.11376,0.00771,0.000364446,0.000364446,0.000364446
34,63.989,0.9512,1.9743,0.0047,0.03563,0.86257,0.43623,0.31084,1.02612,3.11376,0.00771,0.000370389,0.000370389,0.000370389
35,65.8843,1.09207,2.23242,0.00815,0.03436,0.8348,0.43866,0.32106,1.05642,3.02409,0.00781,0.000376002,0.000376002,0.000376002
36,67.7981,1.07324,1.95291,0.00663,0.03436,0.8348,0.43866,0.32106,1.05642,3.02409,0.00781,0.000381285,0.000381285,0.000381285
37,69.5808,0.92534,1.82292,0.00538,0.03557,0.86257,0.43743,0.33894,1.03556,2.90072,0.00766,0.000386237,0.000386237,0.000386237
38,71.3622,0.93542,1.82279,0.00478,0.03557,0.86257,0.43743,0.33894,1.03556,2.90072,0.00766,0.00039086,0.00039086,0.00039086
39,73.2738,0.95928,1.89412,0.00488,0.03669,0.89035,0.4663,0.36409,1.01557,2.82821,0.00749,0.000395152,0.000395152,0.000395152
40,74.9522,0.96316,1.82597,0.00539,0.03669,0.89035,0.4663,0.36409,1.01557,2.82821,0.00749,0.000399115,0.000399115,0.000399115
41,76.7337,0.87766,1.67167,0.00398,0.03777,0.91813,0.55881,0.42865,1.05692,2.77778,0.00789,0.000402747,0.000402747,0.000402747
42,78.5588,1.03489,1.7688,0.00474,0.03777,0.91813,0.55881,0.42865,1.05692,2.77778,0.00789,0.00040605,0.00040605,0.00040605
43,80.3564,0.9183,1.79199,0.00381,0.71484,0.42105,0.72223,0.51043,1.16293,2.75367,0.00868,0.000409022,0.000409022,0.000409022
44,82.1452,1.00756,1.84838,0.00523,0.71484,0.42105,0.72223,0.51043,1.16293,2.75367,0.00868,0.000411664,0.000411664,0.000411664
45,83.9496,1.01614,1.69088,0.00481,0.89704,0.42105,0.76845,0.52341,1.20663,2.66091,0.00898,0.000413976,0.000413976,0.000413976
46,85.6479,1.0204,1.65513,0.00584,0.89704,0.42105,0.76845,0.52341,1.20663,2.66091,0.00898,0.000415958,0.000415958,0.000415958
47,87.4105,0.88291,1.57779,0.00392,0.97386,0.36842,0.78182,0.52706,1.19324,2.57334,0.00897,0.00041761,0.00041761,0.00041761
48,89.1279,1.02034,1.6258,0.0044,0.97386,0.36842,0.78182,0.52706,1.19324,2.57334,0.00897,0.000418932,0.000418932,0.000418932
49,90.7896,0.90164,1.93373,0.00531,1,0.3611,0.78545,0.53919,1.10199,2.52881,0.00845,0.000419924,0.000419924,0.000419924
50,92.4764,0.92345,1.39575,0.00452,1,0.3611,0.78545,0.53919,1.10199,2.52881,0.00845,0.000420586,0.000420586,0.000420586
51,94.2171,0.99522,1.68106,0.00543,0.9946,0.36842,0.79163,0.55311,1.07742,2.44724,0.00814,0.000420918,0.000420918,0.000420918
52,95.9237,0.89912,1.75589,0.00606,0.9946,0.36842,0.79163,0.55311,1.07742,2.44724,0.00814,0.000420919,0.000420919,0.000420919
53,97.7184,1.0205,1.81432,0.00521,0.9946,0.36842,0.79163,0.55311,1.07742,2.44724,0.00814,0.000420591,0.000420591,0.000420591
54,99.4224,0.82097,1.49694,0.00472,0.99127,0.36842,0.805,0.55865,1.12874,2.36459,0.00847,0.000419932,0.000419932,0.000419932
55,101.274,0.9183,1.59161,0.00586,0.99127,0.36842,0.805,0.55865,1.12874,2.36459,0.00847,0.000418944,0.000418944,0.000418944
56,103.01,0.91493,1.44327,0.00428,0.99127,0.36842,0.805,0.55865,1.12874,2.36459,0.00847,0.000417625,0.000417625,0.000417625
57,104.727,1.01487,1.52033,0.00427,1,0.43819,0.81467,0.5436,1.21763,2.33793,0.00923,0.000415977,0.000415977,0.000415977
58,106.487,0.86446,1.38981,0.00465,1,0.43819,0.81467,0.5436,1.21763,2.33793,0.00923,0.000413998,0.000413998,0.000413998
59,108.268,0.86905,1.34675,0.0045,1,0.43819,0.81467,0.5436,1.21763,2.33793,0.00923,0.000411689,0.000411689,0.000411689
60,110.071,0.8494,1.54187,0.00485,1,0.46877,0.82083,0.54566,1.26395,2.28721,0.00952,0.00040905,0.00040905,0.00040905
61,111.771,0.95032,1.3594,0.00464,1,0.46877,0.82083,0.54566,1.26395,2.28721,0.00952,0.000406081,0.000406081,0.000406081
62,113.423,0.96083,1.52157,0.00513,1,0.46877,0.82083,0.54566,1.26395,2.28721,0.00952,0.000402782,0.000402782,0.000402782
63,115.057,0.89669,1.50792,0.00536,1,0.50199,0.82827,0.55751,1.32886,2.1409,0.00985,0.000399153,0.000399153,0.000399153
64,116.844,0.99924,1.36688,0.00507,1,0.50199,0.82827,0.55751,1.32886,2.1409,0.00985,0.000395194,0.000395194,0.000395194
65,118.642,0.88042,1.33527,0.00438,1,0.50199,0.82827,0.55751,1.32886,2.1409,0.00985,0.000390905,0.000390905,0.000390905
66,120.455,0.98041,1.31056,0.00429,1,0.55812,0.82874,0.55066,1.30298,2.12257,0.00961,0.000386286,0.000386286,0.000386286
67,122.139,0.88042,1.27502,0.00473,1,0.55812,0.82874,0.55066,1.30298,2.12257,0.00961,0.000381336,0.000381336,0.000381336
